Custom brain region	root	Isocortex	Olfactory areas	Hippocampal formation	Ammon's horn	Dentate gyrus, molecular layer	Dentate gyrus, polymorph layer	Dentate gyrus, granule cell layer	Fasciola cinerea	Induseum griseum	Entorhinal area	Parasubiculum	Postsubiculum	Presubiculum	Subiculum	Cortical subplate	Claustrum	Endopiriform nucleus	Lateral amygdalar nucleus	Basolateral amygdalar nucleus	Basomedial amygdalar nucleus	Posterior amygdalar nucleus	Striatum	Caudoputamen	Nucleus accumbens	Fundus of striatum	Olfactory tubercle	Lateral septal complex	Striatum-like amygdalar nuclei	Pallidum	Thalamus	Ventral group of the dorsal thalamus	Subparafascicular nucleus	Subparafascicular area	Peripeduncular nucleus	Geniculate group, dorsal thalamus	Lateral group of the dorsal thalamus	Anterior group of the dorsal thalamus	Medial group of the dorsal thalamus	Midline group of the dorsal thalamus	Intralaminar nuclei of the dorsal thalamus	Reticular nucleus of the thalamus	Geniculate group, ventral thalamus	Epithalamus	Hypothalamus	Midbrain	Midbrain, sensory related	Midbrain, motor related	Midbrain, behavioral state related	Pons	Pons, sensory related	Pons, motor related	Pons, behavioral state related	Medulla	Medulla, sensory related	Medulla, motor related	Medulla, behavioral state related	Cerebellum	Cerebellar cortex	Cerebellar nuclei	fiber tracts	ventricular systems
		844	961																											564															72			10				621			642	372			968		117	
		882	619																											596															263			494							651	83			1073		125	
		993	260																											581															272			503							429	136			1007		832	
		656	1139																											809															830			511							437	106			1017		62	
		962	631																											351															452			795							445	203			1025		158	
		767	639																											287															523			50								235			1033		911	
		1021	647																																										763			67								307			1041		901	
		1085	788																																										914			587								395			1049		93	
		453	566																																										1109			1100								1098					229	
		322																																											126			215								1107					705	
		353																																											133			531								852					794	
		558																																											347			628								859					798	
		838																																											286			634								938					933	
		654																																											338			706								970					413	
		702																																											689			1061								978					948	
		889																																											467			616								154					841	
		929																																											88			214								177					658	
		329																																											331			35								169					633	
		981																																											210			975								1069					482	
		201																																											491			115								701					917	
		1047																																											525			757								209					237	
		1070																																											557			231								202					792	
		1038																																											1126			66								225					932	
		1062																																											1											217					514	
		337																																											515											765					380	
		1030																																											980											773					388	
		113																																											1004											781					697	
		1094																																											63																960	
		1128																																											693																752	
		478																																											946																326	
		510																																											290																78	
		345																																											194																1123	
		878																																											226																728	
		657																																											356																983	
		950																																											364																776	
		974																																											173																784	
		1102																																											470																6	
		2																																											614																924	
		369																																											797																190	
		450																																											804																896	
		854																																																											1092	
		577																																																											14	
		625																																																											1000	
		945																																																											877	
		1026																																																											1060	
		361																																																											863	
		1006																																																											397	
		670																																																											991	
		1086																																																											768	
		1111																																																											884	
		9																																																											908	
		461																																																											940	
		182305689																																																											1099	
		182305693																																																											466	
		182305697																																																											530	
		182305701																																																											603	
		182305705																																																											737	
		182305709																																																											436	
		182305713																																																											618	
		378																																																											443	
		873																																																											449	
		806																																																											301	
		1035																																																											824	
		1090																																																											341	
		862																																																											46	
		893																																																											753	
		1057																																																											690	
		36																																																											681	
		180																																																											673	
		148																																																											1083	
		187																																																											802	
		638																																																											595	
		662																																																											611	
		677																																																												
		897																																																												
		1106																																																												
		1010																																																												
		1058																																																												
		857																																																												
		849																																																												
		247																																																												
		1011																																																												
		527																																																												
		600																																																												
		678																																																												
		252																																																												
		156																																																												
		243																																																												
		1002																																																												
		735																																																												
		251																																																												
		816																																																												
		847																																																												
		954																																																												
		1005																																																												
		1027																																																												
		696																																																												
		643																																																												
		759																																																												
		791																																																												
		249																																																												
		456																																																												
		1018																																																												
		959																																																												
		755																																																												
		990																																																												
		1023																																																												
		520																																																												
		598																																																												
		669																																																												
		402																																																												
		1074																																																												
		905																																																												
		1114																																																												
		233																																																												
		601																																																												
		649																																																												
		394																																																												
		281																																																												
		1066																																																												
		401																																																												
		433																																																												
		1046																																																												
		441																																																												
		409																																																												
		421																																																												
		973																																																												
		573																																																												
		613																																																												
		74																																																												
		121																																																												
		385																																																												
		593																																																												
		821																																																												
		721																																																												
		778																																																												
		33																																																												
		305																																																												
		425																																																												
		750																																																												
		269																																																												
		869																																																												
		902																																																												
		377																																																												
		393																																																												
		533																																																												
		805																																																												
		41																																																												
		501																																																												
		565																																																												
		257																																																												
		469																																																												
		312782574																																																												
		312782578																																																												
		312782582																																																												
		312782586																																																												
		312782590																																																												
		312782594																																																												
		312782598																																																												
		312782628																																																												
		312782632																																																												
		312782636																																																												
		312782640																																																												
		312782644																																																												
		312782648																																																												
		312782652																																																												
		31																																																												
		39																																																												
		935																																																												
		211																																																												
		1015																																																												
		919																																																												
		927																																																												
		48																																																												
		588																																																												
		296																																																												
		772																																																												
		810																																																												
		819																																																												
		972																																																												
		171																																																												
		304																																																												
		363																																																												
		84																																																												
		132																																																												
		44																																																												
		707																																																												
		556																																																												
		827																																																												
		1054																																																												
		1081																																																												
		714																																																												
		723																																																												
		448																																																												
		412																																																												
		630																																																												
		440																																																												
		488																																																												
		731																																																												
		484																																																												
		582																																																												
		620																																																												
		910																																																												
		746																																																												
		969																																																												
		288																																																												
		1125																																																												
		608																																																												
		680																																																												
		95																																																												
		104																																																												
		996																																																												
		328																																																												
		1101																																																												
		783																																																												
		831																																																												
		111																																																												
		120																																																												
		163																																																												
		344																																																												
		314																																																												
		119																																																												
		704																																																												
		694																																																												
		800																																																												
		675																																																												
		699																																																												
		254																																																												
		894																																																												
		671																																																												
		965																																																												
		774																																																												
		906																																																												
		279																																																												
		879																																																												
		442																																																												
		434																																																												
		545																																																												
		610																																																												
		274																																																												
		330																																																												
		886																																																												
		542																																																												
		430																																																												
		687																																																												
		590																																																												
		622																																																												
		22																																																												
		312782546																																																												
		312782550																																																												
		312782554																																																												
		312782558																																																												
		312782562																																																												
		312782566																																																												
		312782570																																																												
		417																																																												
		312782604																																																												
		312782608																																																												
		312782612																																																												
		312782616																																																												
		312782620																																																												
		312782624																																																												
		541																																																												
		97																																																												
		1127																																																												
		234																																																												
		289																																																												
		729																																																												
		786																																																												
		922																																																												
		540																																																												
		888																																																												
		692																																																												
		335																																																												
		368																																																												
		895																																																												
		836																																																												
		427																																																												
		988																																																												
		977																																																												
		1045																																																												
